,x,y
0,229,242
1,235,239
2,240,236
3,244,237
4,248,236
5,254,238
6,260,241
7,254,246
8,249,248
9,244,248
10,240,248
11,235,246
12,232,242
13,240,240
14,244,241
15,248,240
16,257,241
17,248,242
18,244,243
19,240,242
20,229,243
21,235,240
22,241,237
23,245,238
24,249,237
25,255,239
26,261,242
27,255,247
28,249,249
29,245,249
30,241,248
31,236,247
32,232,243
33,241,241
34,245,241
35,249,241
36,259,242
37,249,243
38,245,243
39,241,243
40,230,243
41,236,239
42,241,237
43,245,238
44,249,237
45,255,239
46,262,242
47,255,247
48,250,249
49,245,249
50,241,249
51,236,247
52,233,243
53,241,241
54,245,241
55,249,241
56,259,242
57,249,243
58,245,243
59,241,243
60,229,242
61,236,239
62,241,237
63,245,238
64,249,237
65,255,239
66,261,242
67,255,247
68,249,249
69,245,249
70,241,248
71,236,247
72,232,242
73,241,241
74,245,241
75,249,241
76,259,242
77,249,243
78,245,243
79,241,243
80,229,242
81,235,239
82,240,237
83,245,238
84,249,236
85,255,239
86,261,241
87,255,247
88,250,249
89,245,249
90,240,248
91,235,247
92,232,242
93,240,241
94,245,241
95,249,241
96,258,242
97,249,243
98,245,243
99,240,243
100,229,242
101,235,239
102,241,236
103,245,237
104,249,236
105,255,238
106,262,241
107,255,246
108,250,248
109,245,249
110,240,248
111,235,246
112,232,242
113,240,241
114,245,241
115,249,241
116,259,241
117,249,243
118,245,243
119,241,242
120,228,242
121,234,239
122,240,236
123,244,236
124,249,235
125,255,238
126,262,241
127,255,247
128,249,250
129,244,250
130,240,250
131,234,248
132,231,242
133,240,240
134,244,240
135,249,240
136,259,241
137,249,244
138,244,244
139,240,244
140,226,243
141,232,238
142,239,235
143,244,236
144,249,235
145,257,237
146,264,241
147,257,251
148,250,255
149,244,256
150,239,255
151,232,252
152,229,243
153,239,240
154,244,240
155,249,240
156,261,241
157,249,248
158,244,249
159,239,249
160,228,241
161,234,239
162,239,237
163,244,238
164,248,237
165,254,238
166,262,240
167,255,246
168,249,249
169,244,249
170,239,249
171,234,247
172,231,242
173,239,241
174,243,241
175,248,241
176,259,241
177,248,244
178,244,244
179,239,244
180,228,240
181,234,239
182,239,237
183,243,239
184,247,237
185,252,238
186,259,240
187,253,245
188,247,246
189,243,247
190,238,246
191,234,244
192,231,241
193,239,241
194,243,242
195,247,241
196,256,241
197,247,241
198,243,242
199,239,241
200,228,241
201,234,237
202,239,234
203,244,235
204,248,234
205,254,236
206,262,240
207,255,246
208,249,248
209,244,249
210,239,249
211,234,247
212,232,241
213,239,239
214,244,240
215,248,239
216,258,240
217,248,242
218,244,243
219,239,243
220,227,242
221,233,237
222,239,233
223,244,234
224,249,233
225,255,235
226,261,240
227,255,246
228,249,249
229,244,249
230,239,249
231,233,247
232,230,241
233,239,238
234,244,238
235,248,238
236,258,241
237,248,242
238,244,242
239,239,242
240,227,242
241,233,237
242,239,234
243,244,235
244,248,234
245,255,236
246,262,240
247,256,246
248,249,248
249,244,249
250,239,249
251,233,247
252,230,241
253,239,238
254,244,238
255,248,238
256,259,240
257,249,242
258,244,242
259,239,242
260,228,241
261,234,237
262,239,234
263,244,235
264,248,234
265,254,236
266,262,240
267,255,246
268,249,249
269,244,249
270,239,249
271,234,247
272,231,241
273,239,238
274,244,238
275,248,238
276,258,240
277,249,243
278,244,243
279,239,243
280,228,241
281,234,237
282,239,234
283,244,235
284,248,233
285,254,236
286,261,240
287,255,246
288,249,248
289,244,249
290,239,248
291,234,246
292,231,241
293,239,238
294,244,238
295,248,238
296,258,240
297,248,242
298,244,242
299,239,242
300,228,241
301,234,237
302,239,234
303,243,235
304,247,234
305,254,236
306,261,240
307,255,246
308,249,248
309,244,248
310,239,248
311,234,246
312,231,241
313,239,238
314,243,239
315,248,238
316,258,240
317,248,242
318,244,242
319,239,242
